,PLAYER_NAME,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,2pointer_MADE,2pointer_ATTEMPTS,3pointer_MADE,3pointer_ATTEMPTS,FreeThrow_MADE,FreeThrow_ATTEMPTS,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,REBOUNDS_TOTAL,ASSISTS,STEALS,BLOCKS,TURNOVERS,PERSONAL_FOULS,POINTS,SEASON
1023,Dahntay Jones,1980-12-27,41,Duke,USA,78.0,225.0,13,2003,2016,2003,1,20,1610612763,MEM,Memphis,2563,109.0,263.0,3.0,21.0,60.0,93.0,20.0,84.0,104.0,39.0,38.0,15.0,50.0,108.0,281.0,2005
1024,Dale Davis,1969-03-25,53,Clemson,USA,83.0,252.0,16,1991,2006,1991,1,13,1610612765,DET,Detroit,905,9.0,24.0,0.0,1.0,8.0,15.0,21.0,32.0,53.0,6.0,0.0,9.0,4.0,23.0,26.0,2005
1025,Damien Wilkins,1980-01-11,42,Georgia,USA,78.0,217.0,9,2004,2017,0,0,0,1610612760,SEA,Seattle,2863,193.0,435.0,14.0,56.0,136.0,162.0,79.0,113.0,192.0,107.0,72.0,12.0,85.0,144.0,536.0,2005
1026,Damon Jones,1976-08-25,45,Houston,USA,75.0,195.0,11,1998,2008,0,0,0,1610612739,CLE,Cleveland,1800,190.0,491.0,140.0,371.0,32.0,50.0,14.0,119.0,133.0,169.0,37.0,1.0,55.0,112.0,552.0,2005
1027,Damon Stoudamire,1973-09-03,48,Arizona,USA,70.0,171.0,13,1995,2007,1995,1,7,1610612763,MEM,Memphis,757,114.0,287.0,36.0,104.0,53.0,62.0,23.0,72.0,95.0,128.0,19.0,1.0,55.0,49.0,317.0,2005
1028,Dan Dickau,1978-09-16,43,Gonzaga,USA,72.0,180.0,6,2002,2007,2002,1,28,1610612738,BOS,Boston,2424,17.0,46.0,10.0,20.0,18.0,18.0,5.0,11.0,16.0,40.0,11.0,1.0,18.0,40.0,62.0,2005
1029,Dan Gadzuric,1978-02-02,44,UCLA,Netherlands,83.0,240.0,10,2002,2011,2002,2,33,1610612749,MIL,Milwaukee,2429,171.0,309.0,0.0,1.0,41.0,89.0,91.0,141.0,232.0,24.0,25.0,43.0,35.0,171.0,383.0,2005
1030,Daniel Ewing,1983-03-26,39,Duke,USA,75.0,185.0,1,2005,2006,2005,2,32,1610612746,LAC,Los Angeles,101137,97.0,255.0,22.0,78.0,36.0,46.0,23.0,62.0,85.0,84.0,37.0,6.0,57.0,86.0,252.0,2005
1031,Danny Fortson,1976-03-27,46,Cincinnati,USA,80.0,260.0,9,1997,2006,1997,1,10,1610612760,SEA,Seattle,1504,27.0,51.0,0.0,0.0,33.0,43.0,31.0,47.0,78.0,2.0,4.0,2.0,26.0,76.0,87.0,2005
1032,Danny Granger,1983-04-20,39,New Mexico,USA,81.0,222.0,10,2005,2014,2005,1,17,1610612754,IND,Indiana,101122,221.0,478.0,30.0,93.0,115.0,148.0,131.0,253.0,384.0,90.0,58.0,62.0,80.0,211.0,587.0,2005
1033,Darius Miles,1981-10-09,40,East St. Louis HS (IL),USA,81.0,235.0,7,2000,2008,2000,1,3,1610612757,POR,Portland,2032,235.0,510.0,2.0,10.0,87.0,163.0,24.0,158.0,182.0,73.0,42.0,39.0,99.0,100.0,559.0,2005
1034,Darius Songaila,1978-02-14,44,Wake Forest,Lithuania,81.0,248.0,8,2003,2010,2002,2,49,1610612741,CHI,Chicago,2443,236.0,491.0,2.0,5.0,94.0,115.0,76.0,170.0,246.0,88.0,35.0,16.0,85.0,157.0,568.0,2005
1035,Darko Milicic,1985-06-20,36,Hemoform,Serbia,84.0,275.0,9,2003,2012,2003,1,2,1610612765,DET,Detroit,2545,119.0,234.0,0.0,2.0,28.0,50.0,44.0,107.0,151.0,41.0,14.0,77.0,51.0,92.0,266.0,2005
1036,Darrell Armstrong,1968-06-22,53,Fayetteville State,USA,73.0,180.0,14,1994,2007,0,0,0,1610612742,DAL,Dallas,353,43.0,128.0,11.0,48.0,33.0,42.0,18.0,63.0,81.0,86.0,27.0,3.0,58.0,71.0,130.0,2005
1037,Darrick Martin,1971-03-06,51,UCLA,USA,71.0,170.0,12,1994,2007,0,0,0,1610612761,TOR,Toronto,239,34.0,97.0,16.0,40.0,18.0,24.0,2.0,18.0,20.0,57.0,17.0,0.0,15.0,42.0,102.0,2005
1038,David Harrison,1982-08-15,39,Colorado,USA,84.0,280.0,4,2004,2007,2004,1,29,1610612754,IND,Indiana,2758,148.0,294.0,0.0,0.0,89.0,174.0,84.0,170.0,254.0,14.0,23.0,59.0,79.0,193.0,385.0,2005
1039,David Lee,1983-04-29,39,Florida,USA,81.0,245.0,12,2005,2016,2005,1,30,1610612752,NYK,New York,101135,137.0,229.0,0.0,0.0,71.0,123.0,108.0,194.0,302.0,43.0,30.0,20.0,51.0,124.0,345.0,2005
1040,David Wesley,1970-11-14,51,Baylor,USA,73.0,203.0,14,1993,2006,0,0,0,1610612745,HOU,Houston,133,226.0,561.0,99.0,271.0,151.0,187.0,24.0,154.0,178.0,204.0,59.0,6.0,120.0,212.0,702.0,2005
1041,David West,1980-08-29,41,Xavier,USA,81.0,250.0,15,2003,2017,2003,1,18,1610612740,NOK,New Orleans/Oklahoma City,2561,530.0,1036.0,3.0,11.0,199.0,236.0,168.0,380.0,548.0,92.0,61.0,64.0,105.0,214.0,1262.0,2005
1042,DeSagana Diop,1982-01-30,40,No College,Senegal,84.0,280.0,12,2001,2012,2001,1,8,1610612742,DAL,Dallas,2205,75.0,154.0,1.0,2.0,39.0,72.0,145.0,229.0,374.0,23.0,44.0,146.0,36.0,253.0,190.0,2005
1043,DeShawn Stevenson,1981-04-03,41,Washington Union HS (CA),USA,77.0,218.0,13,2000,2012,2000,1,23,1610612753,ORL,Orlando,2052,359.0,781.0,2.0,15.0,180.0,242.0,59.0,182.0,241.0,160.0,58.0,17.0,123.0,178.0,900.0,2005
1044,Delonte West,1983-07-26,38,St. Joseph's (PA),USA,75.0,180.0,8,2004,2011,2004,1,24,1610612738,BOS,Boston,2753,333.0,684.0,84.0,218.0,86.0,101.0,57.0,232.0,289.0,329.0,84.0,46.0,133.0,197.0,836.0,2005
1045,Deng Gai,1982-03-22,40,Fairfield,South Sudan,81.0,250.0,0,2005,2005,0,0,0,1610612755,PHI,Philadelphia,101184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005
1046,DerMarr Johnson,1980-05-05,42,Cincinnati,USA,81.0,210.0,7,2000,2007,2000,1,6,1610612743,DEN,Denver,2035,132.0,306.0,56.0,160.0,34.0,42.0,19.0,77.0,96.0,55.0,25.0,26.0,46.0,86.0,354.0,2005
1047,Derek Anderson,1974-07-18,47,Kentucky,USA,77.0,195.0,11,1997,2007,1997,1,13,1610612745,HOU,Houston,1507,108.0,303.0,40.0,134.0,93.0,111.0,21.0,122.0,143.0,101.0,23.0,6.0,54.0,98.0,349.0,2005
1048,Derek Fisher,1974-08-09,47,Arkansas-Little Rock,USA,73.0,210.0,17,1996,2013,1996,1,24,1610612744,GSW,Golden State,965,364.0,887.0,117.0,295.0,244.0,293.0,36.0,175.0,211.0,352.0,125.0,8.0,156.0,237.0,1089.0,2005
1049,Deron Williams,1984-06-26,37,Illinois,USA,75.0,200.0,12,2005,2016,2005,1,3,1610612762,UTA,Utah,101114,339.0,805.0,91.0,219.0,95.0,135.0,35.0,159.0,194.0,359.0,60.0,17.0,145.0,233.0,864.0,2005
1050,Derrick Zimmerman,1981-12-02,40,Mississippi State,USA,75.0,195.0,0,2005,2005,2003,2,40,1610612751,NJN,New Jersey,2583,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,7.0,0.0,0.0,4.0,4.0,4.0,2005
1051,Desmond Mason,1977-10-11,44,Oklahoma State,USA,77.0,222.0,9,2000,2009,2000,1,17,1610612740,NOK,New Orleans/Oklahoma City,2046,275.0,690.0,1.0,6.0,206.0,302.0,64.0,234.0,298.0,66.0,42.0,17.0,113.0,136.0,757.0,2005
1052,Devean George,1977-08-29,44,Augsburg,USA,80.0,235.0,11,1999,2009,1999,1,23,1610612747,LAL,Los Angeles,1904,170.0,425.0,50.0,160.0,58.0,86.0,82.0,192.0,274.0,68.0,66.0,34.0,54.0,159.0,448.0,2005
1053,Devin Brown,1978-12-30,43,Texas-San Antonio,USA,77.0,210.0,8,2002,2009,0,0,0,1610612762,UTA,Utah,2484,207.0,527.0,39.0,118.0,158.0,212.0,73.0,134.0,207.0,104.0,44.0,14.0,99.0,153.0,611.0,2005
1054,Devin Green,1982-10-25,39,Hampton,USA,79.0,212.0,1,2005,2005,0,0,0,1610612747,LAL,Los Angeles,101209,6.0,28.0,0.0,2.0,13.0,21.0,10.0,14.0,24.0,7.0,3.0,0.0,5.0,13.0,25.0,2005
1055,Devin Harris,1983-02-27,39,Wisconsin,USA,75.0,185.0,15,2004,2018,2004,1,5,1610612742,DAL,Dallas,2734,190.0,405.0,5.0,21.0,169.0,236.0,26.0,99.0,125.0,177.0,53.0,16.0,84.0,121.0,554.0,2005
1056,Dijon Thompson,1983-03-23,39,UCLA,USA,80.0,200.0,1,2005,2006,2005,2,54,1610612756,PHX,Phoenix,101159,11.0,25.0,4.0,11.0,2.0,2.0,4.0,7.0,11.0,1.0,3.0,1.0,2.0,6.0,28.0,2005
1057,Dikembe Mutombo,1966-06-25,55,Georgetown,Congo,86.0,260.0,18,1991,2008,1991,1,4,1610612745,HOU,Houston,87,50.0,95.0,0.0,0.0,69.0,91.0,100.0,206.0,306.0,4.0,17.0,57.0,35.0,128.0,169.0,2005
1058,Dirk Nowitzki,1978-06-19,43, ,Germany,84.0,245.0,21,1998,2018,1998,1,9,1610612742,DAL,Dallas,1717,751.0,1564.0,110.0,271.0,539.0,598.0,115.0,613.0,728.0,226.0,58.0,83.0,156.0,164.0,2151.0,2005
1059,Donell Taylor,1982-07-26,39,Alabama-Birmingham,USA,77.0,193.0,2,2005,2006,0,0,0,1610612764,WAS,Washington,101182,53.0,136.0,4.0,17.0,30.0,43.0,16.0,37.0,53.0,45.0,30.0,4.0,34.0,47.0,140.0,2005
1060,Donta Smith,1983-11-27,38,Southeastern Illinois,USA,79.0,215.0,1,2004,2005,2004,2,34,1610612737,ATL,Atlanta,2764,15.0,27.0,2.0,4.0,6.0,12.0,3.0,11.0,14.0,9.0,8.0,0.0,4.0,20.0,38.0,2005
1061,Donyell Marshall,1973-05-18,49,Connecticut,USA,81.0,245.0,15,1994,2008,1994,1,4,1610612739,CLE,Cleveland,923,265.0,671.0,128.0,395.0,92.0,123.0,105.0,387.0,492.0,60.0,59.0,41.0,90.0,160.0,750.0,2005
1062,Dorell Wright,1985-12-02,36,South Kent HS (CT),USA,81.0,205.0,11,2004,2015,2004,1,19,1610612748,MIA,Miami,2748,20.0,43.0,3.0,6.0,15.0,17.0,2.0,30.0,32.0,8.0,3.0,1.0,14.0,12.0,58.0,2005
1063,Doug Christie,1970-05-09,52,Pepperdine,USA,78.0,205.0,14,1992,2006,1992,1,17,1610612742,DAL,Dallas,57,9.0,26.0,0.0,1.0,8.0,12.0,2.0,11.0,13.0,14.0,9.0,1.0,6.0,10.0,26.0,2005
1064,Drew Gooden,1981-09-24,40,Kansas,USA,82.0,250.0,14,2002,2015,2002,1,4,1610612739,CLE,Cleveland,2400,334.0,652.0,1.0,3.0,176.0,258.0,237.0,428.0,665.0,56.0,52.0,49.0,106.0,190.0,845.0,2005
1065,Dwayne Jones,1983-06-09,38,St. Joseph's (PA),USA,83.0,248.0,6,2005,2012,0,0,0,1610612738,BOS,Boston,101204,4.0,10.0,0.0,0.0,6.0,13.0,10.0,21.0,31.0,2.0,1.0,3.0,3.0,14.0,14.0,2005
1066,Dwight Howard,1985-12-08,36,SW Atlanta Christian Academy (GA),USA,82.0,265.0,16,2004,2020,2004,1,1,1610612753,ORL,Orlando,2730,468.0,881.0,0.0,2.0,356.0,598.0,288.0,734.0,1022.0,125.0,65.0,115.0,217.0,277.0,1292.0,2005
1067,Dwyane Wade,1982-01-17,40,Marquette,USA,76.0,220.0,16,2003,2018,2003,1,5,1610612748,MIA,Miami,2548,699.0,1413.0,13.0,76.0,629.0,803.0,107.0,323.0,430.0,503.0,146.0,58.0,268.0,217.0,2040.0,2005
1068,Earl Barron,1981-08-14,40,Memphis,USA,84.0,250.0,8,2005,2014,0,0,0,1610612748,MIA,Miami,2853,5.0,16.0,0.0,0.0,3.0,4.0,2.0,8.0,10.0,0.0,0.0,0.0,5.0,10.0,13.0,2005
1069,Earl Boykins,1976-06-02,45,Eastern Michigan,USA,65.0,133.0,13,1998,2011,0,0,0,1610612743,DEN,Denver,1863,271.0,661.0,62.0,179.0,152.0,174.0,21.0,60.0,81.0,230.0,48.0,4.0,83.0,73.0,756.0,2005
1070,Earl Watson,1979-06-12,42,UCLA,USA,73.0,199.0,12,2001,2013,2001,2,39,1610612743,DEN,Denver,2248,219.0,509.0,110.0,272.0,75.0,111.0,24.0,134.0,158.0,289.0,68.0,10.0,136.0,159.0,623.0,2005
1071,Eddie Basden,1983-02-15,39,North Carolina-Charlotte,USA,77.0,215.0,1,2005,2005,0,0,0,1610612741,CHI,Chicago,101188,15.0,37.0,1.0,7.0,8.0,10.0,7.0,21.0,28.0,8.0,9.0,2.0,9.0,17.0,39.0,2005
1072,Eddie Gill,1978-08-16,43,Weber State,USA,72.0,190.0,7,2000,2008,0,0,0,1610612754,IND,Indiana,2109,10.0,45.0,7.0,23.0,18.0,23.0,0.0,15.0,15.0,12.0,11.0,1.0,9.0,13.0,45.0,2005
1073,Eddie Griffin,1982-05-30,40,Seton Hall,USA,81.0,222.0,4,2001,2006,2001,1,7,1610612750,MIN,Minnesota,2204,130.0,370.0,16.0,82.0,44.0,74.0,107.0,282.0,389.0,40.0,13.0,148.0,43.0,125.0,320.0,2005
1074,Eddie House,1978-05-14,44,Arizona State,USA,73.0,190.0,11,2000,2010,2000,2,37,1610612756,PHX,Phoenix,2067,320.0,759.0,123.0,316.0,33.0,41.0,15.0,117.0,132.0,148.0,42.0,12.0,76.0,96.0,796.0,2005
1075,Eddie Jones,1971-10-20,50,Temple,USA,78.0,200.0,14,1994,2007,1994,1,10,1610612763,MEM,Memphis,224,292.0,722.0,133.0,374.0,168.0,215.0,35.0,244.0,279.0,177.0,131.0,27.0,93.0,201.0,885.0,2005
1076,Eddy Curry,1982-12-05,39,Thornwood HS (IL),USA,84.0,295.0,10,2001,2012,2001,1,4,1610612752,NYK,New York,2201,336.0,597.0,0.0,0.0,307.0,486.0,145.0,287.0,432.0,19.0,28.0,56.0,179.0,239.0,979.0,2005
1077,Eduardo Najera,1976-07-11,45,Oklahoma,Mexico,80.0,235.0,12,2000,2011,2000,2,38,1610612743,DEN,Denver,2059,127.0,301.0,4.0,12.0,89.0,114.0,128.0,197.0,325.0,52.0,53.0,34.0,54.0,165.0,347.0,2005
1078,Elton Brand,1979-03-11,43,Duke,USA,81.0,254.0,17,1999,2015,1999,1,1,1610612746,LAC,Los Angeles,1882,756.0,1435.0,1.0,3.0,440.0,568.0,236.0,554.0,790.0,208.0,81.0,201.0,173.0,227.0,1953.0,2005
1079,Emeka Okafor,1982-09-28,39,Connecticut,USA,82.0,255.0,10,2004,2017,2004,1,2,1610612766,CHA,Charlotte,2731,131.0,316.0,0.0,0.0,82.0,125.0,94.0,167.0,261.0,31.0,22.0,50.0,53.0,88.0,344.0,2005
1080,Eric Piatkowski,1970-09-30,51,Nebraska,USA,79.0,215.0,14,1994,2007,1994,1,15,1610612741,CHI,Chicago,15,24.0,61.0,9.0,33.0,2.0,5.0,4.0,19.0,23.0,13.0,6.0,1.0,11.0,20.0,59.0,2005
1081,Eric Snow,1973-04-24,49,Michigan State,USA,75.0,205.0,13,1995,2007,1995,2,43,1610612739,CLE,Cleveland,727,163.0,399.0,1.0,10.0,64.0,93.0,38.0,160.0,198.0,346.0,76.0,19.0,116.0,218.0,391.0,2005
1082,Eric Williams,1972-07-17,49,Providence,USA,80.0,220.0,11,1995,2006,1995,1,14,1610612761,TOR,Toronto,677,29.0,75.0,5.0,18.0,28.0,38.0,10.0,40.0,50.0,15.0,7.0,2.0,15.0,55.0,91.0,2005
1083,Erick Dampier,1975-07-14,46,Mississippi State,USA,83.0,265.0,16,1996,2011,1996,1,10,1610612742,DAL,Dallas,956,171.0,347.0,0.0,0.0,127.0,215.0,273.0,367.0,640.0,51.0,27.0,106.0,115.0,263.0,469.0,2005
1084,Ervin Johnson,1967-12-21,54,New Orleans,USA,83.0,245.0,12,1993,2005,1993,1,23,1610612749,MIL,Milwaukee,911,7.0,17.0,0.0,0.0,1.0,2.0,5.0,19.0,24.0,2.0,1.0,2.0,5.0,23.0,15.0,2005
1085,Esteban Batista,1983-09-02,38,Trouville,Uruguay,82.0,268.0,2,2005,2006,0,0,0,1610612737,ATL,Atlanta,101212,34.0,80.0,0.0,1.0,33.0,53.0,61.0,83.0,144.0,7.0,15.0,11.0,38.0,111.0,101.0,2005
1086,Etan Thomas,1978-04-01,44,Syracuse,USA,82.0,260.0,9,2001,2010,2000,1,12,1610612764,WAS,Washington,2041,131.0,246.0,0.0,0.0,75.0,125.0,99.0,180.0,279.0,14.0,20.0,68.0,51.0,148.0,337.0,2005
1087,Fabricio Oberto,1975-03-21,47,Valencia,Argentina,82.0,245.0,5,2005,2010,0,0,0,1610612759,SAS,San Antonio,101177,44.0,93.0,0.0,2.0,15.0,27.0,57.0,66.0,123.0,27.0,9.0,11.0,28.0,91.0,103.0,2005
1088,Flip Murray,1979-07-29,42,Shaw,USA,75.0,200.0,8,2002,2009,2002,2,41,1610612760,SEA,Seattle,2436,321.0,768.0,37.0,141.0,172.0,242.0,33.0,120.0,153.0,197.0,68.0,11.0,135.0,133.0,851.0,2005
1089,Francisco Elson,1976-02-28,46,California,Netherlands,84.0,240.0,8,2003,2011,1999,2,41,1610612743,DEN,Denver,1922,151.0,284.0,1.0,5.0,49.0,74.0,99.0,240.0,339.0,47.0,54.0,45.0,65.0,211.0,352.0,2005
1090,Francisco Garcia,1981-12-31,40,Louisville,Dominican Republic,79.0,215.0,9,2005,2014,2005,1,23,1610612758,SAC,Sacramento,101128,130.0,325.0,39.0,137.0,78.0,101.0,39.0,146.0,185.0,94.0,41.0,47.0,75.0,135.0,377.0,2005
1091,Fred Jones,1979-03-11,43,Oregon,USA,74.0,225.0,7,2002,2008,2002,1,14,1610612754,IND,Indiana,2410,233.0,559.0,63.0,187.0,122.0,160.0,18.0,152.0,170.0,154.0,55.0,20.0,107.0,142.0,651.0,2005
1092,Gary Payton,1968-07-23,53,Oregon State,USA,76.0,190.0,17,1990,2006,1990,1,2,1610612748,MIA,Miami,56,230.0,547.0,66.0,230.0,100.0,126.0,34.0,199.0,233.0,257.0,71.0,10.0,102.0,169.0,626.0,2005
1093,Gerald Fitch,1982-08-12,39,Kentucky,USA,75.0,188.0,1,2005,2005,0,0,0,1610612748,MIA,Miami,2809,30.0,89.0,7.0,26.0,17.0,23.0,7.0,23.0,30.0,33.0,7.0,5.0,15.0,28.0,84.0,2005
1094,Gerald Green,1986-01-26,36,No College,USA,79.0,205.0,12,2005,2018,2005,1,18,1610612738,BOS,Boston,101123,66.0,138.0,6.0,20.0,29.0,37.0,10.0,31.0,41.0,18.0,13.0,4.0,22.0,41.0,167.0,2005
1095,Gerald Wallace,1982-07-23,39,Alabama,USA,79.0,220.0,14,2001,2014,2001,1,25,1610612766,CHA,Charlotte,2222,317.0,589.0,14.0,50.0,188.0,306.0,123.0,289.0,412.0,96.0,138.0,115.0,99.0,150.0,836.0,2005
1096,Gilbert Arenas,1982-01-06,40,Arizona,USA,76.0,215.0,11,2001,2011,2001,2,30,1610612764,WAS,Washington,2240,746.0,1668.0,199.0,540.0,655.0,799.0,59.0,221.0,280.0,484.0,161.0,25.0,297.0,286.0,2346.0,2005
1097,Gordan Giricek,1977-06-20,44,CSKA Moscow,Croatia,78.0,220.0,6,2002,2007,1999,2,40,1610612762,UTA,Utah,1921,166.0,383.0,18.0,59.0,43.0,57.0,15.0,55.0,70.0,63.0,16.0,4.0,63.0,87.0,393.0,2005
1098,Grant Hill,1972-10-05,49,Duke,USA,80.0,225.0,17,1994,2012,1994,1,3,1610612753,ORL,Orlando,255,119.0,243.0,2.0,8.0,78.0,102.0,15.0,65.0,80.0,48.0,24.0,6.0,35.0,50.0,318.0,2005
1099,Greg Buckner,1976-09-16,45,Clemson,USA,76.0,210.0,10,1999,2008,1998,2,53,1610612743,DEN,Denver,1761,181.0,417.0,86.0,243.0,43.0,55.0,31.0,178.0,209.0,127.0,87.0,20.0,52.0,180.0,491.0,2005
1100,Greg Ostertag,1973-03-06,49,Kansas,USA,86.0,280.0,10,1995,2005,1995,1,28,1610612762,UTA,Utah,731,61.0,124.0,0.0,0.0,24.0,48.0,82.0,143.0,225.0,58.0,6.0,66.0,46.0,129.0,146.0,2005
1101,Ha Ha,1985-08-04,36,Yonsei,South Korea,87.0,305.0,2,2004,2005,2004,2,46,1610612757,POR,Portland,2775,18.0,31.0,0.0,0.0,8.0,17.0,14.0,35.0,49.0,1.0,3.0,8.0,14.0,41.0,44.0,2005
1102,Hakim Warrick,1982-07-08,39,Syracuse,USA,81.0,219.0,7,2005,2012,2005,1,19,1610612763,MEM,Memphis,101124,101.0,228.0,0.0,0.0,76.0,115.0,43.0,101.0,144.0,30.0,14.0,21.0,56.0,113.0,278.0,2005
1103,Hedo Turkoglu,1979-03-19,43,Efes Pilsen,Turkey,82.0,220.0,14,2000,2014,2000,1,16,1610612753,ORL,Orlando,2045,398.0,877.0,114.0,283.0,255.0,296.0,70.0,263.0,333.0,216.0,70.0,21.0,130.0,234.0,1165.0,2005
1104,Howard Eisley,1972-12-04,49,Boston College,USA,74.0,185.0,11,1994,2005,1994,2,30,1610612746,LAC,Los Angeles,458,34.0,103.0,13.0,42.0,20.0,24.0,3.0,30.0,33.0,69.0,11.0,2.0,21.0,34.0,101.0,2005
1105,Ike Diogu,1983-09-11,38,Arizona State,USA,81.0,250.0,6,2005,2011,2005,1,9,1610612744,GSW,Golden State,101113,175.0,334.0,0.0,0.0,136.0,168.0,95.0,134.0,229.0,29.0,15.0,30.0,78.0,164.0,486.0,2005
1106,Ime Udoka,1977-08-09,44,Portland State,USA,77.0,220.0,7,2003,2010,0,0,0,1610612752,NYK,New York,2137,9.0,24.0,1.0,3.0,3.0,6.0,3.0,14.0,17.0,6.0,1.0,0.0,2.0,8.0,22.0,2005
1107,Ira Newble,1975-01-20,47,Miami (Ohio),USA,79.0,220.0,8,2000,2007,0,0,0,1610612739,CLE,Cleveland,1956,17.0,57.0,3.0,13.0,11.0,16.0,21.0,35.0,56.0,9.0,5.0,10.0,12.0,47.0,48.0,2005
1108,JR Smith,1985-09-09,36,No College,USA,78.0,220.0,16,2004,2019,2004,1,18,1610612740,NOK,New Orleans/Oklahoma City,2747,144.0,366.0,52.0,140.0,83.0,101.0,19.0,91.0,110.0,58.0,37.0,4.0,54.0,90.0,423.0,2005
1109,Jackie Butler,1985-03-10,37,Coastal Christian Academy (VA),USA,82.0,260.0,3,2004,2006,0,0,0,1610612752,NYK,New York,2866,117.0,215.0,0.0,0.0,58.0,77.0,67.0,116.0,183.0,25.0,17.0,31.0,62.0,127.0,292.0,2005
1110,Jackson Vroman,1981-06-06,40,Iowa State,USA,82.0,220.0,1,2004,2005,2004,2,31,1610612740,NOK,New Orleans/Oklahoma City,2761,26.0,66.0,0.0,0.0,21.0,44.0,33.0,53.0,86.0,11.0,12.0,11.0,21.0,78.0,73.0,2005
1111,Jacque Vaughn,1975-02-11,47,Kansas,USA,73.0,190.0,12,1997,2008,1997,1,27,1610612751,NJN,New Jersey,1521,107.0,245.0,1.0,6.0,59.0,81.0,16.0,75.0,91.0,123.0,42.0,1.0,52.0,140.0,274.0,2005
1112,Jake Tsakalidis,1979-06-10,42,AEK Athens,Greece,86.0,290.0,7,2000,2006,2000,1,25,1610612763,MEM,Memphis,2054,100.0,165.0,0.0,0.0,57.0,87.0,78.0,134.0,212.0,13.0,14.0,32.0,39.0,107.0,257.0,2005
1113,Jake Voskuhl,1977-11-01,44,Connecticut,USA,83.0,255.0,9,2000,2008,2000,2,33,1610612766,CHA,Charlotte,2063,114.0,261.0,1.0,3.0,41.0,60.0,62.0,121.0,183.0,39.0,26.0,23.0,33.0,157.0,270.0,2005
1114,Jalen Rose,1973-01-30,49,Michigan,USA,80.0,215.0,13,1994,2006,1994,1,13,1610612761,TOR,Toronto,147,290.0,685.0,59.0,172.0,248.0,318.0,28.0,183.0,211.0,181.0,30.0,13.0,115.0,156.0,887.0,2005
1115,Jamaal Magloire,1978-05-21,44,Kentucky,Canada,83.0,265.0,12,2000,2011,2000,1,19,1610612749,MIL,Milwaukee,2048,287.0,615.0,0.0,0.0,178.0,333.0,220.0,558.0,778.0,56.0,29.0,80.0,166.0,276.0,752.0,2005
1116,Jamaal Tinsley,1978-02-28,44,Iowa State,USA,75.0,188.0,10,2001,2013,2001,1,27,1610612754,IND,Indiana,2224,158.0,386.0,16.0,70.0,58.0,91.0,35.0,98.0,133.0,211.0,49.0,6.0,109.0,96.0,390.0,2005
1117,Jamal Crawford,1980-03-20,42,Michigan,USA,77.0,200.0,20,2000,2019,2000,1,8,1610612752,NYK,New York,2037,366.0,879.0,101.0,293.0,295.0,357.0,36.0,212.0,248.0,301.0,87.0,15.0,175.0,150.0,1128.0,2005
1118,Jamal Mashburn,1972-11-29,49,Kentucky,USA,80.0,247.0,11,1993,2003,1993,1,4,1610612755,PHI,Philadelphia,469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005
1119,Jamal Sampson,1983-05-15,39,California,USA,83.0,235.0,5,2002,2006,2002,2,46,1610612758,SAC,Sacramento,2441,5.0,7.0,0.0,0.0,0.0,2.0,5.0,13.0,18.0,5.0,0.0,4.0,0.0,5.0,10.0,2005
1120,Jameer Nelson,1982-02-09,40,St. Joseph's (PA),USA,72.0,190.0,14,2004,2017,2004,1,20,1610612753,ORL,Orlando,2749,347.0,719.0,70.0,165.0,141.0,181.0,39.0,141.0,180.0,302.0,70.0,9.0,148.0,174.0,905.0,2005
1121,James Jones,1980-10-04,41,Miami,USA,80.0,218.0,14,2003,2016,2003,2,49,1610612756,PHX,Phoenix,2592,243.0,581.0,110.0,285.0,103.0,121.0,44.0,209.0,253.0,57.0,38.0,49.0,35.0,142.0,699.0,2005
1122,James Lang,1983-10-17,38,Central Park Christian HS (AL),USA,82.0,305.0,0,2006,2006,2003,2,48,1610612737,ATL,Atlanta,2591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005
1123,James Posey,1977-01-13,45,Xavier,USA,80.0,217.0,12,1999,2010,1999,1,18,1610612748,MIA,Miami,1899,159.0,395.0,117.0,290.0,48.0,61.0,33.0,286.0,319.0,89.0,54.0,20.0,58.0,196.0,483.0,2005
1124,James Singleton,1981-07-20,40,Murray State,USA,80.0,230.0,5,2005,2011,0,0,0,1610612746,LAC,Los Angeles,101189,77.0,151.0,10.0,20.0,39.0,50.0,63.0,134.0,197.0,29.0,19.0,21.0,28.0,95.0,203.0,2005
