PLAYER_NAME,BIRTHDATE,AGE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,FIRST_SEASON,LAST_SEASON,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
Kenneth Faried,1989-11-19,32,Morehead State,USA,80.0,220.0,8,2011,2018,2011,1,22
Dick Farley,1932-04-13,90,Indiana,USA,76.0,190.0,2,1954,1958,1954,2,15
Jordan Farmar,1986-11-30,35,UCLA,USA,74.0,180.0,9,2006,2016,2006,1,26
Desmon Farmer,1981-10-07,40,Southern California,USA,77.0,220.0,1,2006,2008,0,0,0
Jim Farmer,1964-09-23,57,Alabama,USA,76.0,190.0,4,1987,1993,1987,1,20
Mike Farmer,1936-09-26,85,San Francisco,USA,79.0,210.0,6,1958,1965,1958,1,3
Tony Farmer,1970-01-03,52,Nebraska,USA,81.0,244.0,2,1997,1999,0,0,0
Bob Faught,1921-09-02,100,Notre Dame,USA,77.0,185.0,0,1946,1946,0,0,0
Vitor Faverani,1988-05-05,34,Valencia,Brazil,83.0,260.0,1,2013,2013,0,0,0
Derrick Favors,1991-07-15,30,Georgia Tech,USA,81.0,265.0,10,2010,2020,2010,1,3
Nick Fazekas,1985-06-17,36,Nevada-Reno,USA,83.0,235.0,1,2007,2007,2007,2,34
Dave Fedor,1940-12-10,81,Florida State,USA,78.0,190.0,0,1962,1962,1962,3,23
Bob Feerick,1920-01-02,102,Santa Clara,USA,75.0,190.0,3,1946,1949,0,0,0
Butch Feher,1954-05-19,68,Vanderbilt,USA,76.0,185.0,0,1976,1976,1976,2,33
Jamie Feick,1974-07-03,47,Michigan State,USA,80.0,255.0,5,1996,2002,1996,2,48
George Feigenbaum,1929-07-02,92,Kentucky,USA,73.0,185.0,1,1949,1952,0,0,0
Dave Feitl,1962-06-08,59,Texas-El Paso,USA,83.0,235.0,4,1986,1991,1986,2,43
Kay Felder,1995-03-29,27,Oakland,USA,69.0,176.0,2,2016,2017,2016,2,54
Cristiano Felicio,1992-07-07,29,Flamengo,Brazil,83.0,270.0,5,2015,2020,0,0,0
Carrick Felix,1990-08-17,31,Arizona State,USA,78.0,201.0,1,2013,2013,2013,2,33
Noel Felix,1981-10-04,40,Fresno State,USA,81.0,225.0,1,2005,2005,0,0,0
Ray Felix,1930-12-10,91,Long Island-Brooklyn,USA,83.0,220.0,8,1953,1961,1953,1,1
Raymond Felton,1984-06-26,37,North Carolina,USA,73.0,205.0,14,2005,2018,2005,1,5
Jake Fendley,1929-06-12,92,Northwestern,USA,72.0,180.0,1,1951,1952,1951,3,23
Bill Fenley,1922-02-08,100,Manhattan,USA,75.0,190.0,0,1946,1946,0,0,0
Desmond Ferguson,1977-07-22,44,Detroit,USA,79.0,210.0,1,2003,2003,0,0,0
Terrance Ferguson,1998-05-17,24,Adelaide,USA,78.0,190.0,3,2017,2020,2017,1,21
Rudy Fernandez,1985-04-04,37,Joventut Badalona,Spain,78.07063365886896,211.14685155717208,4,2008,2016,2007,1,24
Bruno Fernando,1998-08-15,23,Maryland,Angola,81.0,240.0,1,2019,2020,2019,2,34
Eric Fernsten,1953-11-01,68,San Francisco,USA,82.0,205.0,5,1975,1983,1975,4,62
Al Ferrari,1933-07-06,88,Michigan State,USA,76.0,190.0,5,1955,1962,1955,3,15
Rolando Ferreira,1964-05-24,58,Houston,USA,85.0,240.0,0,1988,1988,1988,2,26
Duane Ferrell,1965-02-28,57,Georgia Tech,USA,79.0,215.0,10,1988,1998,0,0,0
Yogi Ferrell,1993-05-09,29,Indiana,USA,72.0,178.0,4,2016,2020,0,0,0
Danny Ferry,1966-10-17,55,Duke,USA,82.0,235.0,13,1990,2002,1989,1,2
Kyrylo Fesenko,1986-12-24,35,Cherkaski,Ukraine,85.0,280.0,5,2007,2011,2007,2,38
Kenny Fields,1962-02-09,60,UCLA,USA,77.0,220.0,3,1984,1987,1984,1,21
Landry Fields,1988-06-27,33,Stanford,USA,79.0,215.0,4,2010,2014,2010,2,39
Ron Filipek,1944-02-05,78,Tennessee Tech,USA,77.0,205.0,0,1967,1967,1967,9,100
Greg Fillmore,1947-03-07,75,Cheyney,USA,85.0,240.0,1,1970,1971,1970,8,136
Hank Finkel,1942-04-20,80,Dayton,USA,84.0,240.0,8,1966,1974,1966,2,17
Michael Finley,1973-03-06,49,Wisconsin,USA,79.0,225.0,15,1995,2009,1995,1,21
Danny Finn,1928-05-27,94,St. John's,USA,73.0,185.0,2,1952,1954,0,0,0
Dorian Finney-Smith,1993-05-04,29,Florida,USA,79.0,220.0,4,2016,2020,0,0,0
Matt Fish,1969-11-18,52,North Carolina-Wilmington,USA,83.0,235.0,2,1994,1996,1992,2,50
Derek Fisher,1974-08-09,47,Arkansas-Little Rock,USA,73.0,210.0,17,1996,2013,1996,1,24
Gerald Fitch,1982-08-12,39,Kentucky,USA,75.0,188.0,1,2005,2005,0,0,0
Bob Fitzgerald,1923-03-14,99,Fordham,USA,77.0,190.0,1,1946,1948,0,0,0
Dick Fitzgerald,1920-11-18,101,Seton Hall,USA,74.0,175.0,1,1946,1947,0,0,0
Marcus Fizer,1978-08-10,43,Iowa State,USA,78.07063365886896,211.14685155717208,6,2000,2007,2000,1,4
Jerry Fleishman,1922-02-14,100,New York University,USA,74.0,190.0,4,1946,1952,0,0,0
Al Fleming,1954-04-05,68,Arizona,USA,79.0,215.0,0,1977,1977,1976,2,30
Ed Fleming,1933-07-25,88,Niagara,USA,75.0,189.0,4,1955,1959,1955,3,16
Vern Fleming,1962-02-04,60,Georgia,USA,77.0,185.0,11,1984,1995,1984,1,18
Luis Flores,1981-04-11,41,Manhattan,USA,74.0,195.0,1,2004,2004,2004,2,55
Bruce Flowers,1957-06-13,64,Notre Dame,USA,80.0,225.0,0,1982,1982,1979,2,26
Sleepy Floyd,1960-03-06,62,Georgetown,USA,75.0,170.0,12,1982,1994,1982,1,13
Jonny Flynn,1989-02-06,33,Syracuse,USA,72.0,185.0,3,2009,2011,2009,1,6
Mike Flynn,1953-07-31,68,Kentucky,USA,74.0,180.0,1,1976,1977,1975,7,113
Larry Fogle,1953-03-19,69,Canisius,USA,77.0,205.0,0,1975,1975,1975,2,34
Jack Foley,1939-04-19,83,Holy Cross,USA,75.0,170.0,0,1962,1962,1962,2,16
Ike Fontaine,1975-04-16,47,Washington State,USA,78.07063365886896,211.14685155717208,0,2001,2001,0,0,0
Levi Fontaine,1948-11-01,73,Maryland-Eastern Shore,USA,76.0,190.0,0,1970,1970,1970,5,70
Jeff Foote,1987-07-14,34,Cornell,USA,84.0,265.0,0,2011,2011,0,0,0
Bryn Forbes,1993-07-23,28,Michigan State,USA,74.0,205.0,4,2016,2020,0,0,0
Gary Forbes,1985-02-25,37,Massachusetts,Panama,79.0,220.0,2,2010,2011,0,0,0
Alphonso Ford,1971-10-31,50,Mississippi Valley State,USA,73.0,190.0,1,1993,1994,1993,2,32
Alton Ford,1981-05-29,41,Houston,USA,81.0,280.0,3,2001,2003,2001,2,50
Chris Ford,1949-01-11,73,Villanova,USA,77.0,190.0,9,1972,1981,1972,2,17
Don Ford,1952-12-31,69,California-Santa Barbara,USA,81.0,215.0,6,1975,1981,1975,6,92
Jake Ford,1946-04-29,76,Maryland-Eastern Shore,USA,75.0,180.0,1,1970,1971,1970,2,20
Phil Ford,1956-02-09,66,North Carolina,USA,74.0,175.0,6,1978,1984,1978,1,2
Sharrod Ford,1982-01-09,40,Clemson,USA,81.0,235.0,0,2005,2005,0,0,0
Sherell Ford,1972-08-26,49,Illinois-Chicago,USA,79.0,210.0,0,1995,1995,1995,1,26
T.J. Ford,1983-03-24,39,Texas,USA,72.0,165.0,7,2003,2011,2003,1,8
Donnie Forman,1926-01-17,96,New York University,USA,70.0,175.0,0,1948,1948,0,0,0
Bayard Forrest,1954-07-08,67,Grand Canyon,USA,82.0,235.0,1,1977,1978,1976,2,19
Joseph Forte,1981-03-23,41,North Carolina,USA,76.0,194.0,2,2001,2002,2001,1,21
Courtney Fortson,1988-05-23,34,Arkansas,USA,71.0,185.0,1,2011,2011,0,0,0
Danny Fortson,1976-03-27,46,Cincinnati,USA,80.0,260.0,9,1997,2006,1997,1,10
Fred Foster,1946-03-18,76,Miami (Ohio),USA,77.0,210.0,7,1968,1976,1968,3,28
Greg Foster,1968-10-03,53,Texas-El Paso,USA,83.0,250.0,12,1990,2002,1990,2,35
Jeff Foster,1977-01-16,45,Southwest Texas State,USA,83.0,250.0,12,1999,2011,1999,1,21
Rod Foster,1960-10-10,61,UCLA,USA,73.0,160.0,2,1983,1985,1983,2,28
Antonis Fotsis,1981-04-01,41,Panathinaikos,Greece,82.0,219.0,0,2001,2001,2001,2,47
Evan Fournier,1992-10-29,29,Poitiers Basket 86,France,79.0,205.0,8,2012,2020,2012,1,20
Larry Foust,1928-06-24,93,La Salle,USA,81.0,215.0,11,1950,1961,1950,1,5
Jerry Fowler,1927-06-20,94,Missouri,USA,79.0,230.0,0,1951,1951,0,0,0
Tremaine Fowlkes,1976-04-11,46,Fresno State,USA,80.0,220.0,3,2001,2004,1998,2,54
De'Aaron Fox,1997-12-20,24,Kentucky,USA,75.0,185.0,3,2017,2020,2017,1,5
Harold Fox,1949-08-29,72,Jacksonville,USA,74.0,175.0,0,1972,1972,1972,2,15
Jim Fox,1943-04-07,79,South Carolina,USA,82.0,230.0,9,1967,1976,1965,8,67
Rick Fox,1969-07-24,52,North Carolina,Canada,79.0,235.0,13,1991,2003,1991,1,24
Randy Foye,1983-09-24,38,Villanova,USA,76.0,218.0,11,2006,2016,2006,1,7
Adonal Foyle,1975-03-09,47,Colgate,St. Vincent & Grenadines,82.0,270.0,12,1997,2009,1997,1,8
Richie Frahm,1977-08-14,44,Gonzaga,USA,77.0,202.0,3,2002,2007,0,0,0
Steve Francis,1977-02-21,45,Maryland,USA,75.0,210.0,9,1999,2007,1999,1,2
Tellis Frank,1965-04-26,57,Western Kentucky,USA,82.0,225.0,4,1987,1993,1987,1,14
Nat Frankel,1913-11-03,108,Brooklyn,USA,72.0,195.0,0,1946,1946,0,0,0
Jamaal Franklin,1991-07-21,30,San Diego State,USA,77.0,191.0,2,2013,2014,2013,2,41
Michael Frazier II,1994-03-08,28,Florida,USA,75.0,200.0,1,2018,2019,0,0,0
Tim Frazier,1990-11-01,31,Penn State,USA,72.0,170.0,6,2014,2020,0,0,0
Walt Frazier,1945-03-29,77,Southern Illinois,USA,76.0,200.0,12,1967,1979,1967,1,5
Will Frazier,1942-08-24,79,Grambling,USA,79.0,210.0,0,1965,1965,1965,2,9
Melvin Frazier Jr.,1996-08-30,25,Tulane,USA,77.0,215.0,2,2018,2019,2018,2,35
Anthony Frederick,1964-12-07,57,Pepperdine,USA,79.0,205.0,2,1988,1991,1986,6,133
Jimmer Fredette,1989-02-25,33,Brigham Young,USA,74.0,195.0,7,2011,2018,2011,1,10
World Free,1953-12-09,68,Guilford,USA,75.0,185.0,12,1975,1987,1975,2,23
Joel Freeland,1987-02-07,35,Malaga,United Kingdom,82.0,225.0,2,2012,2014,2006,1,30
Donnie Freeman,1944-07-18,77,Illinois,USA,75.0,185.0,0,1975,1975,1966,3,29
Gary Freeman,1948-07-25,73,Oregon State,USA,81.0,210.0,0,1970,1970,1970,1,16
Rod Freeman,1950-11-05,71,Vanderbilt,USA,79.0,225.0,0,1973,1973,1973,11,166
Matt Freije,1981-10-02,40,Vanderbilt,USA,81.0,249.0,2,2004,2006,2004,2,53
Frido Frey,1921-10-26,100,Long Island-Brooklyn,USA,74.0,195.0,0,1946,1946,0,0,0
Larry Friend,1935-04-14,87,California,USA,76.0,185.0,0,1957,1957,1957,2,13
Pat Frink,1945-02-18,77,Colorado,USA,76.0,195.0,0,1968,1968,1968,3,27
Jim Fritsche,1931-12-10,90,Hamline,USA,80.0,210.0,1,1953,1954,1953,1,7
Channing Frye,1983-05-17,39,Arizona,USA,84.0,255.0,13,2005,2018,2005,1,8
Bernie Fryer,1949-12-25,72,Brigham Young,USA,75.0,185.0,1,1973,1974,1972,7,109
Frank Fucarino,1920-07-24,101,Long Island-Brooklyn,USA,74.0,175.0,0,1946,1946,0,0,0
Herm Fuetsch,1918-07-06,103,Polytechnic HS (CA),USA,72.0,170.0,0,1947,1947,0,0,0
Joe Fulks,1921-10-26,100,Murray State,USA,77.0,190.0,7,1946,1953,0,0,0
Hiram Fuller,1981-05-13,41,Fresno State,USA,81.0,240.0,1,2003,2003,0,0,0
Todd Fuller,1974-07-25,47,North Carolina State,USA,78.07063365886896,211.14685155717208,4,1996,2000,1996,1,11
Tony Fuller,1958-09-04,63,Pepperdine,USA,76.0,180.0,0,1980,1980,1980,5,93
Markelle Fultz,1998-05-29,24,Washington,USA,75.0,209.0,3,2017,2020,2017,1,1
Lawrence Funderburke,1970-12-15,51,Ohio State,USA,81.0,230.0,7,1997,2004,1994,2,51
Terry Furlow,1954-10-18,67,Michigan State,USA,77.0,190.0,3,1976,1979,1976,1,12
Wenyen Gabriel,1997-03-26,25,Kentucky,South Sudan,81.0,205.0,1,2018,2020,0,0,0
Dan Gadzuric,1978-02-02,44,UCLA,Netherlands,83.0,240.0,10,2002,2011,2002,2,33
Tony Gaffney,1984-11-14,37,Massachusetts,USA,80.0,205.0,0,2009,2009,0,0,0
Daniel Gafford,1998-10-01,23,Arkansas,USA,82.0,234.0,1,2019,2020,2019,2,38
Deng Gai,1982-03-22,40,Fairfield,South Sudan,81.0,250.0,0,2005,2005,0,0,0
Corey Gaines,1965-06-01,56,Loyola-Marymount,USA,75.0,195.0,4,1988,1994,1988,3,65
Reece Gaines,1981-01-07,41,Louisville,USA,78.0,205.0,2,2003,2005,2003,1,15
Sundiata Gaines,1986-04-18,36,Georgia,USA,73.0,200.0,3,2009,2011,0,0,0
Mike Gale,1950-07-18,71,Elizabeth City State,USA,76.0,185.0,5,1976,1981,1971,3,47
Chad Gallagher,1969-05-30,53,Creighton,USA,82.0,255.0,0,1993,1993,1991,2,32
Danilo Gallinari,1988-08-08,33,Olimpia Milano,Italy,82.0,233.0,11,2008,2020,2008,1,6
Langston Galloway,1991-12-09,30,St. Joseph's (PA),USA,73.0,200.0,6,2014,2020,0,0,0
Dave Gambee,1937-04-16,85,Oregon State,USA,78.0,215.0,11,1958,1969,1958,1,6
Kevin Gamble,1965-11-13,56,Iowa,USA,77.0,210.0,9,1987,1996,1987,3,63
Bob Gantt,1922-06-22,99,Duke,USA,76.0,205.0,0,1946,1946,0,0,0
Jorge Garbajosa,1977-12-19,44,Malaga,Spain,81.0,245.0,1,2006,2007,0,0,0
Ruben Garces,1973-10-17,48,Providence,USA,78.07063365886896,211.14685155717208,0,2000,2000,0,0,0
Alex Garcia,1980-03-04,42,Ribeirao Preto,Brazil,75.0,195.0,1,2003,2004,0,0,0
Francisco Garcia,1981-12-31,40,Louisville,Dominican Republic,79.0,215.0,9,2005,2014,2005,1,23
Thomas Gardner,1985-02-08,37,Missouri,USA,77.0,225.0,2,2007,2008,0,0,0
Vern Gardner,1925-05-14,97,Utah,USA,77.0,200.0,2,1949,1951,1949,1,5
Jack Garfinkel,1918-06-13,103,St. John's,USA,72.0,190.0,2,1946,1948,0,0,0
Patricio Garino,1993-05-17,29,George Washington,Argentina,78.0,203.0,1,2016,2016,0,0,0
Darius Garland,2000-01-26,22,Vanderbilt,USA,73.0,192.0,1,2019,2020,2019,1,5
Gary Garland,1957-10-12,64,DePaul,USA,76.0,180.0,0,1979,1979,1979,2,30
Winston Garland,1964-12-19,57,Missouri State,USA,74.0,170.0,6,1987,1994,1987,2,40
Chris Garner,1975-02-23,47,Memphis,USA,70.0,156.0,2,1997,2000,0,0,0
Bill Garnett,1960-04-22,62,Wyoming,USA,81.0,225.0,3,1982,1985,1982,1,4
Kevin Garnett,1976-05-19,46,Farragut Academy HS (IL),USA,83.0,240.0,21,1995,2015,1995,1,5
Marlon Garnett,1975-07-03,46,Santa Clara,USA,74.0,186.0,0,1998,1998,0,0,0
Billy Garrett,1994-10-16,27,DePaul,USA,78.0,215.0,1,2018,2018,0,0,0
Calvin Garrett,1956-07-11,65,Oral Roberts,USA,79.0,190.0,3,1980,1983,1979,3,47
Dean Garrett,1966-11-27,55,Indiana,USA,83.0,250.0,5,1996,2001,1988,2,38
Diante Garrett,1988-11-03,33,Iowa State,USA,76.0,190.0,1,2012,2013,0,0,0
Eldo Garrett,1947-01-31,75,Southern Illinois,USA,75.0,185.0,4,1969,1973,1969,2,27
Rowland Garrett,1950-07-16,71,Florida State,USA,78.0,210.0,4,1972,1976,1972,5,78
Tom Garrick,1966-07-07,55,Rhode Island,USA,74.0,185.0,3,1988,1991,1988,2,45
John Garris,1959-06-06,62,Boston College,USA,80.0,205.0,0,1983,1983,1983,2,27
Kiwane Garris,1974-09-24,47,Illinois,USA,74.0,183.0,2,1997,2002,0,0,0
Pat Garrity,1976-08-23,45,Notre Dame,USA,81.0,238.0,10,1998,2007,1998,1,19
Jim Garvin,1950-02-05,72,Boston University,USA,79.0,200.0,0,1973,1973,1973,17,204
Marc Gasol,1985-01-29,37,FC Barcelona,Spain,83.0,255.0,12,2008,2020,2007,2,48
Pau Gasol,1980-07-06,41, ,Spain,84.0,250.0,18,2001,2018,2001,1,3
Frank Gates,1920-04-12,102,Sam Houston State,USA,72.0,160.0,0,1949,1949,0,0,0
Chris Gatling,1967-09-03,54,Old Dominion,USA,78.07063365886896,211.14685155717208,10,1991,2001,1991,1,16
Kenny Gattison,1964-05-23,58,Old Dominion,USA,80.0,225.0,8,1986,1995,1986,3,55
Rudy Gay,1986-08-17,35,Connecticut,USA,80.0,250.0,14,2006,2020,2006,1,8
Andrew Gaze,1965-07-24,56,Seton Hall,USA,78.07063365886896,211.14685155717208,1,1993,2017,0,0,0
Michael Gbinije,1992-06-05,29,Syracuse,USA,79.0,200.0,1,2016,2016,2016,2,49
Reggie Geary,1973-08-31,48,Arizona,USA,74.0,187.0,1,1996,1997,1996,2,56
Alonzo Gee,1987-05-29,35,Alabama,USA,78.0,225.0,7,2009,2016,0,0,0
Matt Geiger,1969-09-10,52,Georgia Tech,USA,78.07063365886896,211.14685155717208,9,1992,2001,1992,2,42
Mickael Gelabale,1983-05-22,39,Real Madrid,France,79.0,215.0,3,2006,2012,2005,2,48
Devean George,1977-08-29,44,Augsburg,USA,80.0,235.0,11,1999,2009,1999,1,23
Paul George,1990-05-02,32,Fresno State,USA,80.0,220.0,10,2010,2020,2010,1,10
Tate George,1968-05-29,54,Connecticut,USA,77.0,190.0,3,1990,1994,1990,1,22
Marcus Georges-Hunt,1994-03-28,28,Georgia Tech,USA,77.0,226.0,2,2016,2017,0,0,0
Gus Gerard,1953-07-27,68,Virginia,USA,80.0,200.0,4,1976,1980,1975,3,50
Derrick Gervin,1963-03-28,59,Texas-San Antonio,USA,80.0,200.0,1,1989,1990,1985,4,90
George Gervin,1952-04-27,70,Eastern Michigan,USA,79.0,180.0,9,1976,1985,1974,3,40
Gorham Getchell,1920-08-14,101,Temple,USA,76.0,205.0,0,1946,1946,0,0,0
John Gianelli,1950-06-10,71,Pacific,USA,82.0,220.0,7,1972,1979,1972,2,20
Dick Gibbs,1948-12-20,73,Texas-El Paso,USA,77.0,210.0,4,1971,1975,1971,3,49
Daniel Gibson,1986-02-27,36,Texas,USA,74.0,200.0,7,2006,2012,2006,2,42
Jonathan Gibson,1987-11-08,34,New Mexico State,USA,74.0,185.0,3,2016,2018,0,0,0
Mel Gibson,1940-12-30,81,Western Carolina,USA,75.0,180.0,0,1963,1963,1963,2,16
Mike Gibson,1960-10-27,61,South Carolina Upstate,USA,82.0,205.0,1,1983,1985,1982,2,44
Taj Gibson,1985-06-24,36,USC,USA,81.0,232.0,11,2009,2020,2009,1,26
Ward Gibson,1921-12-05,100,Creighton,USA,77.0,198.0,0,1949,1949,0,0,0
J.R. Giddens,1985-02-13,37,New Mexico,USA,77.0,215.0,2,2008,2009,2008,1,30
Trey Gilder,1985-01-24,37,Northwestern State,USA,81.0,205.0,1,2009,2009,0,0,0
Harry Giles III,1998-04-22,24,Duke,USA,83.0,240.0,2,2017,2020,2017,1,20
Shai Gilgeous-Alexander,1998-07-12,23,Kentucky,Canada,78.0,180.0,2,2018,2020,2018,1,11
Eddie Gill,1978-08-16,43,Weber State,USA,72.0,190.0,7,2000,2008,0,0,0
Kendall Gill,1968-05-25,54,Illinois,USA,77.0,216.0,14,1990,2004,1990,1,5
Ben Gillery,1965-09-19,56,Georgetown,USA,84.0,235.0,0,1988,1988,0,0,0
Gene Gillette,1905-04-04,117,St. Mary's (CA),USA,78.07063365886896,211.14685155717208,0,1946,1946,0,0,0
Armen Gilliam,1964-05-28,58,UNLV,USA,81.0,260.0,12,1987,1999,1987,1,2
Herm Gilliam,1946-05-05,76,Purdue,USA,75.0,190.0,7,1969,1976,1969,1,8
Artis Gilmore,1948-09-21,73,Jacksonville,USA,86.0,240.0,11,1976,1987,1971,7,117
Walt Gilmore,1947-02-27,75,Fort Valley State,USA,78.0,225.0,0,1970,1970,1970,2,25
Chuck Gilmur,1922-08-13,99,Washington,USA,76.0,225.0,4,1946,1950,0,0,0
Manu Ginobili,1977-07-28,44,Virtus Bologna,Argentina,78.0,205.0,15,2002,2017,1999,2,57
Gordan Giricek,1977-06-20,44,CSKA Moscow,Croatia,78.0,220.0,6,2002,2007,1999,2,40
Jack Givens,1956-09-21,65,Kentucky,USA,77.0,205.0,1,1978,1979,1978,1,16
Mickell Gladness,1986-07-26,35,Alabama A&M,USA,83.0,220.0,1,2011,2011,0,0,0
George Glamack,1919-06-07,102,North Carolina,USA,78.0,225.0,0,1948,1948,0,0,0
Gerald Glass,1967-11-12,54,Mississippi,USA,77.0,221.0,3,1990,1995,1990,1,20
Mike Glenn,1955-09-10,66,Southern Illinois,USA,74.0,175.0,9,1977,1986,1977,2,23
Norman Glick,1927-11-10,94,Loyola-Marymount,USA,78.0,190.0,0,1949,1949,0,0,0
Georgi Glouchkov,1960-01-10,62,Akademik Varna,Bulgaria,80.0,235.0,0,1985,1985,1985,7,148
Clarence Glover,1947-11-01,74,Western Kentucky,USA,80.0,210.0,0,1971,1971,1971,1,10
Dion Glover,1978-10-22,43,Georgia Tech,USA,77.0,225.0,5,1999,2004,1999,1,20
Andreas Glyniadakis,1981-08-26,40,AEK Athens,Greece,85.0,280.0,0,2006,2006,2003,2,58
Mike Gminski,1959-08-03,62,Duke,USA,83.0,250.0,13,1980,1993,1980,1,7
Rudy Gobert,1992-06-26,29,Cholet,France,85.0,258.0,7,2013,2020,2013,1,27
Dan Godfread,1967-06-14,54,Evansville,USA,82.0,250.0,1,1990,1991,0,0,0
Ben Goldfaden,1913-09-06,108,George Washington,USA,73.0,185.0,0,1946,1946,0,0,0
Anthony Goldwire,1971-09-06,50,Houston,USA,74.0,182.0,7,1995,2005,1994,2,52
Ryan Gomes,1982-09-01,39,Providence,USA,79.0,245.0,7,2005,2013,2005,2,50
Glen Gondrezick,1955-08-30,66,UNLV,USA,78.0,218.0,5,1977,1982,1977,2,26
Grant Gondrezick,1963-01-19,59,Pepperdine,USA,77.0,205.0,1,1986,1988,1986,4,77
Drew Gooden,1981-09-24,40,Kansas,USA,82.0,250.0,14,2002,2015,2002,1,4
Steve Goodrich,1976-03-18,46,Princeton,USA,82.0,220.0,2,2000,2002,0,0,0
Archie Goodwin,1994-08-17,27,Kentucky,USA,77.0,205.0,4,2013,2016,2013,1,29
Brandon Goodwin,1995-10-02,26,Florida Gulf Coast,USA,72.0,180.0,2,2018,2020,0,0,0
Wilfred Goodwin,1920-12-22,101,St John's Prep HS (NY),USA,74.0,203.0,1,1946,1947,0,0,0
Aaron Gordon,1995-09-16,26,Arizona,USA,80.0,235.0,6,2014,2020,2014,1,4
Ben Gordon,1983-04-04,39,Connecticut,USA,75.0,205.0,11,2004,2014,2004,1,3
Drew Gordon,1990-07-12,31,New Mexico,USA,81.0,245.0,0,2014,2014,0,0,0
Eric Gordon,1988-12-25,33,Indiana,USA,75.0,215.0,12,2008,2020,2008,1,7
Lancaster Gordon,1962-06-24,59,Louisville,USA,75.0,185.0,3,1984,1987,1984,1,8
Marcin Gortat,1984-02-17,38,RheinEnergie Cologne,Poland,83.0,240.0,11,2007,2018,2005,2,57
Leo Gottlieb,1920-11-28,101,DeWitt Clinton HS (NY),USA,71.0,180.0,1,1946,1947,0,0,0
Andrew Goudelock,1988-12-07,33,College of Charleston,USA,75.0,200.0,3,2011,2015,2011,2,46
Bato Govedarica,1928-04-17,94,DePaul,USA,71.0,185.0,0,1953,1953,1951,3,24
Joe Graboski,1930-01-15,92,Tuley HS (IL),USA,80.0,195.0,12,1948,1961,0,0,0
Ricky Grace,1967-08-20,54,Oklahoma,USA,73.0,180.0,0,1993,1993,1988,3,67
Devonte' Graham,1995-02-22,27,Kansas,USA,73.0,195.0,2,2018,2020,2018,2,34
Greg Graham,1970-11-26,51,Indiana,USA,76.0,174.0,4,1993,1997,1993,1,17
Joey Graham,1982-06-11,39,Oklahoma State,USA,79.0,230.0,6,2005,2010,2005,1,16
Mal Graham,1945-02-23,77,New York University,USA,73.0,185.0,1,1967,1968,1967,1,11
Orlando Graham,1965-05-05,57,Auburn-Montgomery,USA,80.0,220.0,0,1988,1988,1988,2,40
Paul Graham,1967-11-28,54,Ohio,USA,78.0,200.0,2,1991,1993,0,0,0
Stephen Graham,1982-06-11,39,Oklahoma State,USA,78.0,215.0,6,2005,2010,0,0,0
Treveon Graham,1993-10-28,28,Va Commonwealth,USA,77.0,219.0,4,2016,2019,0,0,0
Jim Grandholm,1960-10-04,61,South Florida,USA,84.0,235.0,0,1990,1990,1984,4,76
Ronnie Grandison,1964-07-09,57,New Orleans,USA,78.0,220.0,3,1988,1995,1987,5,100
Danny Granger,1983-04-20,39,New Mexico,USA,81.0,222.0,10,2005,2014,2005,1,17
Stewart Granger,1961-10-27,60,Villanova,USA,75.0,190.0,2,1983,1986,1983,1,24
Brian Grant,1972-03-05,50,Xavier,USA,81.0,254.0,12,1994,2005,1994,1,8
Gary Grant,1965-04-21,57,Michigan,USA,78.07063365886896,211.14685155717208,12,1988,2000,1988,1,15
Greg Grant,1966-08-29,55,College of New Jersey,USA,67.0,140.0,5,1989,1995,1989,2,52
Harvey Grant,1965-07-04,56,Oklahoma,USA,81.0,225.0,10,1988,1998,1988,1,12
Horace Grant,1965-07-04,56,Clemson,USA,82.0,245.0,17,1987,2003,1987,1,10
Jerami Grant,1994-03-12,28,Syracuse,USA,80.0,210.0,6,2014,2020,2014,2,39
Jerian Grant,1992-10-09,29,Notre Dame,USA,76.0,198.0,5,2015,2019,2015,1,19
Josh Grant,1967-08-07,54,Utah,USA,81.0,223.0,0,1993,1993,1993,2,43
Paul Grant,1974-01-06,48,Wisconsin,USA,84.0,245.0,1,1998,2003,1997,1,20
Travis Grant,1950-01-01,72,Kentucky State,USA,79.0,215.0,1,1972,1973,1972,1,13
Don Grate,1923-08-27,98,Ohio State,USA,74.0,185.0,0,1949,1949,0,0,0
Butch Graves,1962-01-05,60,Yale,USA,75.0,200.0,0,1984,1984,1984,3,68
Aaron Gray,1984-12-07,37,Pittsburgh,USA,84.0,270.0,6,2007,2013,2007,2,49
Ed Gray,1975-09-27,46,California,USA,75.0,210.0,1,1997,1998,1997,1,22
Evric Gray,1969-12-13,52,UNLV,USA,79.0,235.0,0,1996,1996,0,0,0
Gary Gray,1945-02-23,77,Oklahoma City,USA,73.0,185.0,0,1967,1967,1967,3,26
Josh Gray,1993-09-09,28,Louisiana State,USA,72.0,180.0,2,2017,2019,0,0,0
Leonard Gray,1951-12-19,70,Long Beach State,USA,80.0,240.0,2,1974,1976,1974,2,26
Stuart Gray,1963-05-27,59,UCLA,USA,84.0,235.0,6,1984,1990,1984,2,29
